,y
383,Jörg
384,Atsuto
385,Bob
386,Bob
387,Bob
388,Bob
389,Bob
390,Atsuto
391,Bob
392,Bob
393,Atsuto
394,Bob
395,Atsuto
396,Atsuto
397,Jörg
398,Bob
399,Jörg
400,Atsuto
401,Bob
402,Jörg
403,Bob
404,Atsuto
405,Bob
406,Bob
407,Bob
408,Bob
409,Bob
410,Jörg
411,Bob
412,Jörg
413,Bob
414,Bob
415,Bob
416,Bob
417,Bob
418,Jörg
419,Jörg
420,Atsuto
421,Atsuto
422,Bob
423,Atsuto
424,Bob
425,Bob
426,Atsuto
427,Jörg
428,Bob
429,Bob
430,Bob
431,Bob
432,Bob
433,Bob
434,Bob
435,Atsuto
436,Bob
437,Bob
438,Bob
439,Bob
440,Bob
441,Atsuto
442,Jörg
443,Jörg
444,Atsuto
445,Atsuto
446,Atsuto
447,Bob
448,Atsuto
449,Bob
450,Bob
451,Jörg
452,Atsuto
453,Bob
454,Bob
455,Jörg
456,Atsuto
457,Bob
458,Jörg
459,Bob
460,Atsuto
461,Bob
462,Bob
463,Bob
464,Bob
465,Bob
466,Jörg
467,Jörg
468,Bob
469,Atsuto
470,Atsuto
471,Atsuto
472,Bob
473,Bob
474,Jörg
475,Atsuto
476,Bob
477,Bob
478,Bob
479,Atsuto
480,Atsuto
481,Atsuto
482,Atsuto
483,Bob
484,Bob
485,Bob
486,Jörg
487,Bob
488,Bob
489,Bob
490,Bob
491,Atsuto
492,Bob
493,Bob
494,Bob
495,Bob
496,Jörg
497,Bob
498,Bob
499,Bob
500,Atsuto
501,Bob
502,Bob
503,Atsuto
504,Bob
505,Atsuto
506,Bob
507,Bob
508,Atsuto
509,Bob
510,Atsuto
511,Jörg
512,Jörg
513,Bob
514,Bob
515,Bob
516,Bob
517,Bob
518,Atsuto
519,Bob
520,Atsuto
521,Bob
522,Bob
523,Jörg
524,Atsuto
525,Jörg
526,Bob
527,Atsuto
528,Bob
529,Bob
530,Bob
531,Bob
532,Bob
533,Jörg
534,Bob
535,Jörg
536,Atsuto
537,Atsuto
538,Bob
539,Atsuto
540,Bob
541,Bob
542,Atsuto
543,Atsuto
544,Bob
545,Jörg
546,Bob
547,Bob
548,Bob
549,Atsuto
550,Atsuto
551,Bob
552,Bob
553,Bob
554,Bob
555,Jörg
556,Atsuto
557,Jörg
558,Bob
559,Bob
560,Atsuto
561,Bob
562,Bob
563,Atsuto
564,Bob
565,Atsuto
566,Bob
567,Bob
568,Atsuto
569,Bob
570,Jörg
571,Atsuto
572,Bob
573,Bob
574,Atsuto
575,Bob
576,Atsuto
577,Bob
578,Bob
579,Atsuto
580,Jörg
581,Bob
582,Bob
583,Bob
584,Jörg
585,Bob
586,Bob
587,Atsuto
588,Bob
589,Bob
590,Atsuto
591,Bob
592,Bob
593,Bob
594,Bob
595,Bob
596,Atsuto
597,Bob
598,Jörg
599,Atsuto
600,Jörg
601,Jörg
602,Atsuto
603,Bob
604,Bob
605,Atsuto
606,Jörg
607,Bob
608,Bob
609,Jörg
610,Atsuto
611,Bob
612,Jörg
613,Atsuto
614,Bob
615,Bob
616,Atsuto
617,Bob
618,Bob
619,Atsuto
620,Atsuto
621,Bob
622,Atsuto
623,Jörg
624,Bob
625,Bob
626,Bob
627,Atsuto
628,Bob
629,Bob
630,Bob
631,Atsuto
632,Atsuto
633,Jörg
634,Atsuto
635,Atsuto
636,Bob
637,Bob
638,Atsuto
639,Atsuto
640,Atsuto
641,Bob
642,Atsuto
643,Bob
644,Bob
645,Bob
646,Atsuto
647,Bob
648,Bob
649,Bob
650,Jörg
651,Bob
652,Bob
653,Atsuto
654,Atsuto
655,Bob
656,Jörg
657,Bob
658,Atsuto
659,Atsuto
660,Bob
661,Atsuto
662,Jörg
663,Bob
664,Jörg
665,Atsuto
666,Bob
667,Bob
668,Atsuto
669,Atsuto
670,Jörg
671,Atsuto
672,Atsuto
673,Bob
674,Jörg
675,Jörg
676,Jörg
677,Bob
678,Bob
679,Atsuto
680,Bob
681,Bob
682,Bob
683,Bob
684,Jörg
685,Bob
686,Bob
687,Bob
688,Atsuto
689,Jörg
690,Atsuto
691,Atsuto
692,Jörg
693,Bob
694,Jörg
695,Bob
696,Jörg
697,Bob
698,Atsuto
699,Jörg
700,Atsuto
701,Bob
702,Jörg
703,Bob
704,Bob
705,Bob
706,Bob
707,Jörg
708,Bob
709,Atsuto
710,Bob
711,Atsuto
712,Bob
713,Bob
714,Bob
715,Bob
716,Bob
717,Jörg
718,Bob
719,Bob
720,Atsuto
721,Bob
722,Bob
723,Jörg
724,Atsuto
725,Bob
726,Jörg
727,Bob
728,Bob
729,Bob
730,Bob
731,Bob
732,Bob
733,Atsuto
734,Jörg
735,Jörg
736,Jörg
737,Bob
738,Atsuto
739,Bob
740,Bob
741,Bob
742,Atsuto
743,Atsuto
744,Jörg
745,Bob
746,Bob
747,Bob
748,Bob
749,Bob
750,Atsuto
751,Bob
752,Atsuto
753,Jörg
754,Atsuto
755,Jörg
756,Atsuto
757,Bob
758,Jörg
759,Atsuto
760,Atsuto
761,Bob
762,Bob
763,Jörg
764,Bob
765,Atsuto
766,Bob
767,Bob
768,Atsuto
769,Bob
770,Atsuto
771,Bob
772,Bob
773,Atsuto
774,Atsuto
775,Atsuto
776,Jörg
777,Atsuto
778,Bob
779,Atsuto
780,Atsuto
781,Bob
782,Atsuto
783,Bob
784,Atsuto
785,Atsuto
786,Jörg
787,Jörg
788,Atsuto
789,Bob
790,Bob
791,Atsuto
792,Bob
793,Bob
794,Bob
795,Bob
796,Atsuto
797,Atsuto
798,Jörg
799,Bob
800,Jörg
801,Bob
802,Jörg
803,Bob
804,Jörg
805,Atsuto
806,Bob
807,Atsuto
808,Jörg
809,Bob
810,Atsuto
811,Jörg
812,Bob
813,Bob
814,Bob
815,Bob
816,Jörg
817,Jörg
818,Bob
819,Atsuto
820,Bob
821,Jörg
822,Atsuto
823,Atsuto
824,Atsuto
825,Atsuto
826,Jörg
827,Atsuto
828,Bob
829,Bob
830,Bob
831,Bob
832,Bob
833,Bob
834,Atsuto
835,Bob
836,Bob
837,Bob
838,Bob
839,Atsuto
840,Bob
841,Jörg
842,Bob
843,Jörg
844,Bob
845,Bob
846,Bob
847,Bob
848,Jörg
849,Bob
850,Atsuto
851,Bob
852,Bob
853,Bob
854,Bob
855,Bob
856,Atsuto
857,Bob
858,Bob
859,Bob
860,Bob
861,Bob
862,Jörg
863,Jörg
864,Bob
865,Atsuto
866,Jörg
867,Bob
868,Jörg
869,Atsuto
870,Jörg
871,Bob
872,Bob
873,Atsuto
874,Bob
875,Bob
876,Bob
877,Jörg
878,Bob
879,Bob
880,Atsuto
881,Bob
882,Bob
883,Bob
884,Bob
885,Bob
886,Bob
887,Atsuto
888,Atsuto
889,Bob
890,Atsuto
891,Bob
892,Bob
893,Atsuto
894,Atsuto
895,Jörg
896,Bob
897,Atsuto
898,Atsuto
899,Bob
900,Atsuto
901,Jörg
902,Bob
903,Atsuto
904,Bob
905,Bob
906,Atsuto
907,Atsuto
908,Bob
909,Atsuto
910,Bob
911,Atsuto
912,Bob
913,Bob
914,Bob
915,Atsuto
916,Atsuto
917,Bob
918,Bob
919,Atsuto
920,Atsuto
921,Atsuto
922,Jörg
923,Bob
924,Bob
925,Bob
926,Bob
927,Jörg
928,Jörg
929,Bob
930,Bob
931,Bob
932,Bob
933,Jörg
934,Jörg
935,Jörg
936,Atsuto
937,Jörg
938,Atsuto
939,Atsuto
940,Bob
941,Atsuto
942,Jörg
943,Bob
944,Jörg
945,Atsuto
946,Bob
947,Bob
948,Bob
949,Bob
950,Jörg
951,Bob
952,Bob
953,Atsuto
954,Bob
955,Bob
956,Jörg
957,Bob
958,Bob
959,Jörg
960,Jörg
961,Bob
962,Bob
963,Jörg
964,Bob
965,Jörg
966,Bob
967,Atsuto
968,Jörg
969,Jörg
970,Bob
971,Jörg
972,Bob
973,Atsuto
974,Bob
975,Atsuto
976,Atsuto
977,Bob
978,Atsuto
979,Jörg
980,Atsuto
981,Bob
982,Bob
983,Atsuto
984,Jörg
985,Bob
986,Bob
987,Bob
988,Bob
989,Bob
990,Bob
991,Bob
992,Atsuto
993,Jörg
994,Bob
995,Atsuto
996,Bob
997,Jörg
998,Atsuto
999,Jörg
1000,Atsuto
1001,Bob
1002,Jörg
1003,Bob
1004,Atsuto
1005,Jörg
1006,Atsuto
1007,Atsuto
1008,Jörg
1009,Bob
1010,Atsuto
1011,Bob
1012,Bob
1013,Bob
1014,Jörg
1015,Bob
1016,Bob
1017,Jörg
1018,Bob
1019,Jörg
1020,Bob
1021,Atsuto
1022,Atsuto
1023,Atsuto
1024,Bob
1025,Bob
1026,Atsuto
1027,Atsuto
1028,Atsuto
1029,Atsuto
1030,Bob
1031,Bob
1032,Bob
1033,Atsuto
1034,Atsuto
1035,Atsuto
1036,Jörg
1037,Bob
1038,Atsuto
1039,Bob
1040,Bob
1041,Jörg
1042,Atsuto
1043,Bob
1044,Atsuto
1045,Bob
1046,Bob
1047,Jörg
1048,Atsuto
1049,Atsuto
1050,Atsuto
1051,Bob
1052,Atsuto
1053,Atsuto
1054,Atsuto
1055,Bob
1056,Bob
1057,Atsuto
1058,Bob
1059,Jörg
1060,Bob
1061,Bob
1062,Bob
1063,Bob
1064,Jörg
1065,Jörg
1066,Jörg
1067,Atsuto
1068,Jörg
1069,Atsuto
1070,Bob
1071,Bob
1072,Atsuto
1073,Bob
1074,Atsuto
1075,Bob
1076,Bob
1077,Bob
1078,Bob
1079,Bob
1080,Jörg
1081,Jörg
1082,Atsuto
1083,Bob
1084,Jörg
1085,Bob
1086,Jörg
1087,Bob
1088,Atsuto
1089,Atsuto
1090,Jörg
1091,Bob
1092,Bob
1093,Bob
1094,Bob
1095,Bob
1096,Atsuto
1097,Bob
1098,Jörg
1099,Jörg
1100,Bob
1101,Bob
1102,Atsuto
1103,Bob
1104,Bob
1105,Bob
1106,Jörg
1107,Bob
1108,Bob
1109,Bob
1110,Bob
1111,Atsuto
1112,Jörg
1113,Atsuto
1114,Jörg
1115,Bob
1116,Atsuto
1117,Bob
1118,Bob
1119,Atsuto
1120,Atsuto
1121,Jörg
1122,Atsuto
1123,Atsuto
1124,Atsuto
1125,Atsuto
1126,Bob
1127,Bob
1128,Jörg
1129,Bob
1130,Bob
1131,Bob
1132,Jörg
1133,Jörg
1134,Bob
1135,Atsuto
1136,Atsuto
1137,Atsuto
1138,Jörg
1139,Bob
1140,Atsuto
1141,Bob
1142,Atsuto
1143,Atsuto
1144,Atsuto
1145,Atsuto
1146,Bob
1147,Jörg
1148,Bob
1149,Jörg
1150,Bob
1151,Bob
1152,Atsuto
1153,Bob
1154,Atsuto
1155,Atsuto
1156,Jörg
1157,Jörg
1158,Bob
1159,Jörg
1160,Bob
1161,Jörg
1162,Bob
1163,Atsuto
1164,Bob
1165,Bob
1166,Jörg
1167,Atsuto
1168,Jörg
1169,Atsuto
1170,Bob
1171,Bob
1172,Bob
1173,Bob
1174,Bob
1175,Bob
1176,Atsuto
1177,Bob
1178,Bob
1179,Bob
1180,Bob
1181,Jörg
1182,Atsuto
1183,Bob
1184,Atsuto
1185,Atsuto
1186,Atsuto
1187,Atsuto
1188,Bob
1189,Atsuto
1190,Atsuto
1191,Bob
1192,Atsuto
1193,Atsuto
1194,Bob
1195,Bob
1196,Atsuto
1197,Jörg
1198,Bob
1199,Bob
1200,Bob
1201,Bob
1202,Atsuto
1203,Bob
1204,Bob
1205,Atsuto
1206,Bob
1207,Atsuto
1208,Atsuto
1209,Jörg
1210,Bob
1211,Jörg
1212,Atsuto
1213,Atsuto
1214,Bob
1215,Atsuto
1216,Atsuto
1217,Bob
1218,Jörg
1219,Atsuto
1220,Bob
1221,Bob
1222,Bob
1223,Atsuto
1224,Bob
1225,Bob
1226,Bob
1227,Bob
1228,Jörg
1229,Jörg
1230,Bob
1231,Bob
1232,Bob
1233,Jörg
1234,Bob
1235,Bob
1236,Bob
1237,Atsuto
1238,Bob
1239,Atsuto
1240,Bob
1241,Atsuto
1242,Atsuto
1243,Atsuto
1244,Bob
1245,Bob
1246,Atsuto
1247,Atsuto
1248,Jörg
1249,Bob
1250,Bob
1251,Bob
1252,Jörg
1253,Atsuto
1254,Bob
1255,Bob
1256,Bob
1257,Atsuto
1258,Bob
1259,Bob
1260,Bob
1261,Bob
1262,Bob
1263,Atsuto
1264,Bob
1265,Atsuto
1266,Bob
1267,Bob
1268,Bob
1269,Atsuto
1270,Bob
1271,Atsuto
1272,Bob
1273,Atsuto
1274,Bob
1275,Bob
1276,Jörg
1277,Atsuto
1278,Bob
1279,Jörg
1280,Atsuto
1281,Jörg
1282,Bob
1283,Atsuto
1284,Jörg
1285,Atsuto
1286,Bob
1287,Bob
1288,Bob
1289,Atsuto
1290,Atsuto
1291,Bob
1292,Bob
1293,Jörg
1294,Bob
1295,Bob
1296,Bob
1297,Jörg
1298,Jörg
1299,Bob
1300,Bob
1301,Atsuto
1302,Bob
1303,Bob
1304,Jörg
1305,Bob
1306,Bob
1307,Atsuto
1308,Bob
1309,Jörg
1310,Atsuto
1311,Bob
1312,Bob
1313,Atsuto
1314,Bob
1315,Atsuto
1316,Atsuto
1317,Jörg
1318,Jörg
1319,Bob
1320,Bob
1321,Bob
1322,Jörg
1323,Bob
1324,Jörg
1325,Bob
1326,Jörg
1327,Atsuto
1328,Jörg
1329,Jörg
1330,Bob
1331,Atsuto
1332,Jörg
1333,Bob
1334,Atsuto
1335,Atsuto
1336,Jörg
1337,Jörg
1338,Bob
1339,Atsuto
1340,Bob
1341,Atsuto
1342,Atsuto
1343,Bob
1344,Atsuto
1345,Bob
1346,Bob
1347,Atsuto
1348,Bob
1349,Bob
1350,Bob
1351,Jörg
1352,Jörg
1353,Atsuto
1354,Bob
1355,Bob
1356,Bob
1357,Atsuto
1358,Bob
1359,Atsuto
1360,Atsuto
1361,Atsuto
1362,Atsuto
1363,Jörg
1364,Jörg
1365,Atsuto
1366,Atsuto
1367,Bob
1368,Atsuto
1369,Atsuto
1370,Bob
1371,Bob
1372,Bob
1373,Bob
1374,Bob
1375,Atsuto
1376,Atsuto
1377,Bob
1378,Atsuto
1379,Jörg
1380,Bob
1381,Atsuto
1382,Bob
1383,Bob
1384,Bob
1385,Jörg
1386,Bob
1387,Atsuto
1388,Atsuto
1389,Bob
1390,Atsuto
1391,Jörg
1392,Bob
1393,Bob
1394,Atsuto
1395,Atsuto
1396,Jörg
1397,Bob
1398,Bob
1399,Bob
1400,Bob
1401,Bob
1402,Jörg
1403,Bob
1404,Atsuto
1405,Atsuto
1406,Bob
1407,Jörg
1408,Jörg
1409,Bob
1410,Atsuto
1411,Bob
1412,Bob
1413,Jörg
1414,Atsuto
1415,Bob
1416,Jörg
1417,Jörg
1418,Bob
1419,Jörg
1420,Bob
1421,Atsuto
1422,Atsuto
1423,Atsuto
1424,Jörg
1425,Jörg
1426,Jörg
1427,Bob
1428,Jörg
1429,Bob
1430,Atsuto
1431,Bob
1432,Jörg
1433,Bob
1434,Bob
1435,Atsuto
1436,Bob
1437,Atsuto
1438,Bob
1439,Atsuto
1440,Jörg
1441,Jörg
1442,Atsuto
1443,Jörg
1444,Atsuto
1445,Atsuto
1446,Bob
1447,Atsuto
1448,Bob
1449,Bob
1450,Atsuto
1451,Bob
1452,Atsuto
1453,Bob
1454,Atsuto
1455,Bob
1456,Jörg
1457,Bob
1458,Bob
1459,Bob
1460,Bob
1461,Bob
1462,Bob
1463,Jörg
1464,Bob
1465,Bob
1466,Jörg
1467,Bob
1468,Bob
1469,Jörg
1470,Bob
1471,Jörg
1472,Atsuto
1473,Bob
1474,Bob
1475,Jörg
1476,Bob
1477,Atsuto
1478,Atsuto
1479,Jörg
1480,Atsuto
1481,Bob
1482,Jörg
1483,Atsuto
1484,Atsuto
1485,Jörg
1486,Bob
1487,Bob
1488,Jörg
1489,Atsuto
1490,Bob
1491,Bob
1492,Atsuto
1493,Atsuto
1494,Bob
1495,Jörg
1496,Bob
1497,Jörg
1498,Bob
1499,Bob
1500,Atsuto
1501,Bob
1502,Bob
1503,Bob
1504,Bob
1505,Atsuto
1506,Bob
1507,Atsuto
1508,Jörg
1509,Bob
1510,Jörg
1511,Jörg
1512,Bob
1513,Jörg
1514,Jörg
1515,Atsuto
1516,Bob
1517,Atsuto
1518,Atsuto
1519,Jörg
1520,Jörg
1521,Bob
1522,Bob
1523,Atsuto
1524,Bob
1525,Jörg
1526,Bob
1527,Atsuto
1528,Atsuto
1529,Atsuto
1530,Jörg
1531,Atsuto
1532,Atsuto
1533,Bob
1534,Bob
1535,Bob
1536,Jörg
1537,Bob
1538,Bob
1539,Atsuto
1540,Atsuto
1541,Bob
1542,Bob
1543,Bob
1544,Atsuto
1545,Atsuto
1546,Bob
1547,Bob
1548,Atsuto
1549,Atsuto
1550,Bob
1551,Atsuto
1552,Bob
1553,Bob
1554,Bob
1555,Atsuto
1556,Jörg
1557,Bob
1558,Bob
1559,Bob
1560,Atsuto
1561,Jörg
1562,Jörg
1563,Bob
1564,Bob
1565,Atsuto
1566,Bob
1567,Bob
1568,Jörg
1569,Atsuto
1570,Atsuto
1571,Bob
1572,Jörg
1573,Bob
1574,Atsuto
1575,Bob
1576,Bob
1577,Bob
1578,Bob
1579,Bob
1580,Bob
1581,Jörg
1582,Bob
1583,Atsuto
1584,Bob
1585,Atsuto
1586,Atsuto
1587,Atsuto
1588,Bob
1589,Atsuto
1590,Bob
1591,Bob
1592,Jörg
1593,Bob
1594,Jörg
1595,Atsuto
1596,Atsuto
1597,Jörg
1598,Bob
1599,Bob
1600,Bob
1601,Bob
1602,Bob
1603,Bob
1604,Bob
1605,Atsuto
1606,Bob
1607,Atsuto
1608,Atsuto
1609,Bob
1610,Bob
1611,Atsuto
1612,Jörg
1613,Atsuto
1614,Bob
1615,Bob
1616,Bob
1617,Atsuto
1618,Jörg
1619,Bob
1620,Bob
1621,Atsuto
1622,Bob
1623,Bob
1624,Bob
1625,Jörg
1626,Atsuto
1627,Jörg
1628,Bob
1629,Bob
1630,Bob
1631,Atsuto
1632,Atsuto
1633,Bob
1634,Bob
1635,Jörg
1636,Bob
1637,Atsuto
1638,Bob
1639,Jörg
1640,Atsuto
1641,Jörg
1642,Jörg
1643,Jörg
1644,Bob
1645,Atsuto
1646,Jörg
1647,Bob
1648,Bob
1649,Bob
1650,Bob
1651,Bob
1652,Atsuto
1653,Bob
1654,Bob
1655,Bob
1656,Bob
1657,Atsuto
1658,Bob
1659,Bob
1660,Jörg
1661,Atsuto
1662,Jörg
1663,Bob
1664,Atsuto
1665,Jörg
1666,Bob
1667,Bob
1668,Bob
1669,Atsuto
1670,Atsuto
1671,Bob
1672,Bob
1673,Bob
1674,Jörg
1675,Bob
1676,Bob
1677,Jörg
1678,Atsuto
1679,Atsuto
1680,Jörg
1681,Atsuto
1682,Bob
1683,Bob
1684,Atsuto
1685,Jörg
1686,Jörg
1687,Atsuto
1688,Atsuto
1689,Bob
1690,Jörg
1691,Atsuto
1692,Jörg
1693,Atsuto
1694,Atsuto
1695,Atsuto
1696,Bob
1697,Bob
1698,Jörg
1699,Bob
1700,Bob
1701,Atsuto
1702,Bob
1703,Jörg
1704,Jörg
1705,Atsuto
1706,Bob
1707,Bob
1708,Jörg
1709,Bob
1710,Bob
1711,Atsuto
1712,Atsuto
1713,Atsuto
1714,Bob
1715,Bob
1716,Bob
1717,Bob
1718,Bob
1719,Bob
1720,Atsuto
1721,Bob
1722,Bob
1723,Bob
1724,Atsuto
1725,Atsuto
1726,Bob
1727,Atsuto
1728,Atsuto
1729,Atsuto
1730,Jörg
1731,Jörg
1732,Atsuto
1733,Bob
1734,Atsuto
1735,Atsuto
1736,Bob
1737,Bob
1738,Bob
1739,Bob
1740,Bob
1741,Bob
1742,Bob
1743,Bob
1744,Atsuto
1745,Bob
1746,Atsuto
1747,Bob
1748,Bob
1749,Bob
1750,Bob
1751,Jörg
1752,Jörg
1753,Bob
1754,Bob
1755,Jörg
1756,Bob
1757,Bob
1758,Jörg
1759,Bob
1760,Atsuto
1761,Bob
1762,Atsuto
1763,Jörg
1764,Bob
1765,Jörg
1766,Atsuto
1767,Atsuto
1768,Atsuto
1769,Bob
1770,Jörg
1771,Atsuto
1772,Bob
1773,Bob
1774,Bob
1775,Bob
1776,Atsuto
1777,Atsuto
1778,Atsuto
1779,Bob
1780,Jörg
1781,Atsuto
1782,Bob
1783,Bob
1784,Jörg
1785,Atsuto
1786,Bob
1787,Bob
1788,Atsuto
1789,Bob
1790,Jörg
1791,Jörg
1792,Jörg
1793,Bob
1794,Atsuto
1795,Atsuto
1796,Atsuto
1797,Bob
1798,Atsuto
1799,Bob
1800,Atsuto
1801,Atsuto
1802,Bob
1803,Bob
1804,Atsuto
1805,Bob
1806,Atsuto
1807,Bob
1808,Bob
1809,Jörg
1810,Bob
1811,Atsuto
1812,Atsuto
1813,Jörg
1814,Jörg
1815,Atsuto
1816,Bob
1817,Atsuto
1818,Bob
1819,Bob
1820,Jörg
1821,Atsuto
1822,Atsuto
1823,Bob
1824,Bob
1825,Atsuto
1826,Bob
1827,Jörg
1828,Atsuto
1829,Atsuto
1830,Atsuto
1831,Bob
1832,Bob
1833,Bob
1834,Bob
1835,Bob
1836,Jörg
1837,Atsuto
1838,Atsuto
1839,Atsuto
1840,Jörg
1841,Atsuto
1842,Bob
1843,Atsuto
1844,Bob
1845,Bob
1846,Jörg
1847,Jörg
1848,Atsuto
1849,Bob
1850,Bob
1851,Atsuto
1852,Atsuto
1853,Atsuto
1854,Atsuto
1855,Bob
1856,Atsuto
1857,Bob
1858,Atsuto
1859,Jörg
1860,Bob
1861,Jörg
1862,Atsuto
1863,Bob
1864,Atsuto
1865,Bob
1866,Bob
1867,Bob
1868,Jörg
1869,Bob
1870,Bob
1871,Bob
1872,Bob
1873,Jörg
1874,Atsuto
1875,Atsuto
1876,Bob
1877,Bob
1878,Bob
1879,Bob
1880,Bob
1881,Atsuto
1882,Jörg
1883,Bob
1884,Atsuto
1885,Bob
1886,Jörg
1887,Jörg
1888,Bob
1889,Jörg
1890,Atsuto
1891,Atsuto
1892,Bob
1893,Bob
1894,Jörg
1895,Jörg
1896,Bob
1897,Bob
1898,Bob
1899,Atsuto
1900,Atsuto
1901,Jörg
1902,Jörg
1903,Bob
1904,Bob
1905,Bob
1906,Jörg
1907,Atsuto
1908,Bob
1909,Bob
1910,Atsuto
1911,Bob
1912,Bob
1913,Jörg
1914,Atsuto
1915,Atsuto
1916,Bob
1917,Atsuto
1918,Bob
1919,Bob
1920,Bob
